date,symbol,signal,close,strike,premium_sh,premium_ct,premium_pct,dte,hv,adx,confidence,regime,verdict,reason,pnl,ref
2026-07-20 22:37:05,NVDA,SELL_PUT,205.75,195.0,5.25,525.0,2.58,32,37.7,14.3,73,,APPROVED,semi-auto: manual fill confirmed,,
2026-07-20 22:38:25,KO,SELL_PUT,82.14,78.0,0.65,65.0,0.77,25,27.7,15.9,77,,APPROVED,semi-auto: manual fill confirmed,,
2026-07-22 12:10:36,NVDA,SELL_PUT,213.18,202.5,4.95,495.0,2.32,30,35.8,13.3,65,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-07-22 12:10:36,AMD,SELL_PUT,556.63,530.0,40.15,4015.0,7.21,30,73.0,16.3,43,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-07-22 12:10:36,META,SELL_PUT,629.43,600.0,23.775,2377.5,3.78,30,52.9,15.1,64,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-07-22 12:10:36,MSFT,SELL_PUT,388.93,370.0,11.5,1150.0,2.96,30,35.2,12.7,69,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-07-22 12:10:36,GOOGL,SELL_PUT,347.78,330.0,7.725,772.5,2.22,30,32.4,11.0,82,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-07-22 12:10:36,KO,SELL_PUT,82.5,78.0,0.58,58.0,0.7,30,27.6,14.2,75,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-07-22 12:10:36,PG,SELL_PUT,150.25,143.0,2.055,205.5,1.37,30,24.7,10.9,70,,BUDGET_BLOCK,sideways stock — sell 5% OTM put for income (The Scavenger),,
2026-07-28 09:31:41,KO,SELL_PUT,,78.0,,,,25,,,,,CLOSED,closed_on_schwab at $0.25 (reconciled from Schwab),40.0,KO_2026-07-20 22:38:25
2026-07-30 09:49:20,KO,SELL_PUT,87.57,83.0,0.44,44.0,0.55,29,32.6,18.5,56,,APPROVED,real fill confirmed @ $0.44,,
2026-08-04 09:32:46,NVDA,SELL_PUT,,195.0,,,,32,,,,,CLOSED,early_exit bought back at $1.70 vs $5.25 entry,355.0,NVDA_2026-07-20 22:37:05
2026-08-04 09:33:26,NVDA,SELL_PUT,211.13,200.0,6.07,607.0,2.83,31,44.0,14.2,66,,APPROVED,real fill confirmed @ $6.07,,
2026-08-07 09:36:31,NVDA,SELL_PUT,,200.0,,,,31,,,,,CLOSED,early_exit bought back at $2.65 vs $6.07 entry,342.0,NVDA_2026-08-04 09:33:26
2026-08-07 09:44:38,XOM,SELL_PUT,151.65,144.0,2.03,203.0,1.24,28,24.9,19.9,67,,APPROVED,real fill confirmed @ $2.03,,
2026-08-07 10:40:21,KO,SELL_PUT,,83.0,,,,29,,,,,CLOSED,early_exit bought back at $0.39 vs $0.44 entry,5.0,KO_2026-07-30 09:49:20
2026-08-07 10:55:05,XOM,SELL_PUT,152.67,145.0,2.04,204.0,1.33,28,24.1,19.9,64,,APPROVED,real fill confirmed @ $2.04,,
2026-08-10 11:24:38,XOM,SELL_PUT,,144.0,,,,28,,,,,CLOSED,early_exit bought back at $0.79 vs $2.03 entry,124.0,XOM_2026-08-07 09:44:38
2026-08-10 13:36:34,XOM,SELL_PUT,,145.0,,,,28,,,,,CLOSED,early_exit bought back at $0.79 vs $2.04 entry,125.0,XOM_2026-08-07 10:55:05
2026-08-10 13:37:33,NVDA,SELL_PUT,218.2,205.0,4.91,491.0,2.2,32,41.4,18.0,56,,APPROVED,real fill confirmed @ $4.91,,
2026-08-17 10:39:25,NVDA,SELL_PUT,,205.0,,,,32,,,,,CLOSED,early_exit bought back at $2.12 vs $4.91 entry,279.0,NVDA_2026-08-10 13:37:33
2026-08-17 10:40:16,IBM,SELL_PUT,230.89,220.0,4.37,437.0,1.89,32,31.4,16.0,63,,APPROVED,real fill confirmed @ $4.37,,
2026-08-21 09:39:35,IBM,SELL_PUT,,220.0,,,,32,,,,,CLOSED,early_exit bought back at $3.06 vs $4.37 entry,131.0,IBM_2026-08-17 10:40:16
2026-08-21 10:06:11,NVDA,SELL_PUT,216.24,205.0,4.84,484.0,2.27,28,38.1,17.1,70,,APPROVED,real fill confirmed @ $4.84,,
2026-08-24 09:53:08,IBM,SELL_PUT,231.62,220.0,4.34,434.0,1.78,32,30.6,12.5,75,,APPROVED,real fill confirmed @ $4.34,,
2026-08-27 09:33:04,NVDA,SELL_PUT,,205.0,,,,28,,,,,CLOSED,early_exit bought back at $1.80 vs $4.84 entry,304.0,NVDA_2026-08-21 10:06:11
2026-08-27 09:36:43,IBM,SELL_PUT,232.45,220.0,3.17,317.0,1.36,29,25.4,11.6,63,,APPROVED,real fill confirmed @ $3.17,,
2026-08-27 10:13:57,IBM,SELL_PUT,,220.0,,,,32,,,,,CLOSED,early_exit bought back at $2.52 vs $4.34 entry,182.0,IBM_2026-08-24 09:53:08
2026-08-27 10:13:58,IBM,SELL_PUT,,220.0,,,,29,,,,,CLOSED,early_exit bought back at $2.52 vs $3.17 entry,65.0,IBM_2026-08-27 09:36:43
2026-08-27 10:27:04,IBM,SELL_PUT,237.23,225.0,3.65,365.0,1.5,29,27.3,11.1,67,,APPROVED,real fill confirmed @ $3.65,,
2026-08-27 10:37:58,IBM,SELL_PUT,236.1,225.0,3.45,345.0,1.57,29,26.7,11.1,70,,APPROVED,real fill confirmed @ $3.45,,
2026-08-28 09:33:53,IBM,SELL_PUT,238.79,227.5,2.79,279.0,1.25,21,28.3,11.4,66,,APPROVED,real fill confirmed @ $2.79,,
2026-09-08 08:21:49,IBM,SELL_PUT,,225.0,,,,29,,,,,CLOSED,early_exit bought back at $2.50 vs $3.45 entry,95.0,IBM_2026-08-27 10:37:58
